	summarized	lineages	abundances	resid	coverage
2022-08-04-TX-BW-DSHS-Sample-FDA-1-58_variants.tsv	[('BA.5* [Omicron (BA.5.X)]', 0.9979143499973503), ('Other', 0.0009325727218684356), ('Omicron', 0.00033892600084709553), ('Epsilon', 0.00010679999999254728)]	BA.5.3 BA.5.3.3 BA.5.5 BA.5.9 BA.5.3.4 BA.5.6 BA.5.2.5 BF.8 BA.5.1.1 XA XP BA.5.6.1 B.1.400.1 B.1.595.3 P.6 BA.1.16.2 C.36.1 B.1.1.337 BA.5.7 B.1.429.1 BE.3	0.16589474 0.16589474 0.16589474 0.16589474 0.16589474 0.16589474 0.00122800 0.00052091 0.00037793 0.00021186 0.00020107 0.00020046 0.00017867 0.00015093 0.00014096 0.00013785 0.00012948 0.00012067 0.00011794 0.00010680 0.00010068	4.536814767724949	26.395344948667358
2022-1-13-TX-BW-DSHS-Sample-FDA-1-2_variants.tsv	[('Omicron', 0.9975873315850079), ('Other', 0.000705368332738746)]	BA.1.13.1 BA.1.1.11 BA.1.6 BA.1.5 BA.1.21 BA.1.13 BA.1.16 BA.1.1 BA.1.17 BA.1.18 BA.1.3 BA.1.23 BA.1.1.3 BA.1.1.14 BA.1.12 BA.1.1.13 BA.1.1.12 BA.1.1.7 BA.1.1.9 BA.1.1.8 BA.1.1.15 BA.1.1.10 BA.1.1.2 BA.1.1.18 BA.1 BA.1.1.17 BA.1.1.5 BA.1.1.16 BA.1.7 BA.1.15 BA.1.15.3 B.1.221.3 B.1.1.109 B.1.396 B.1.1.389 B.1.603 BA.1.16.2 BA.1.16.1 XF	0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.03437776 0.00020835 0.00020835 0.00014428 0.00012250 0.00011318 0.00010930 0.00010834 0.00010777 0.00010777 0.00010777	0.14721784824795875	10.6812025549276
2022-5-17-TX-BW-DSHS-Sample-FDA-1-35_variants.tsv	[('BA.2* [Omicron (BA.2.X)]', 0.9967931541358416), ('Omicron', 0.0018938589997394028), ('BA.5* [Omicron (BA.5.X)]', 0.0002926159990532301), ('Other', 0.0002683430002304015)]	BA.2.15 BA.2.29 BA.2.24 BA.2.31 BA.2.1 BA.2.23 BA.2.43 BA.2.8 BA.2.41 BA.2.30 BA.2.40 BA.2.32 BA.2.16 BA.2.61 BA.2.58 BA.2.27 BA.2.60 BA.2.5 BA.2 BA.2.2 BA.2.4 BA.2.23.1 XQ BA.2.73 BA.2.12.2 BA.2.47 BA.2.81 BA.2.3.15 BA.2.77 BA.2.22 BA.2.80 BA.2.12 BA.2.33 BA.5.1.5 XY B.1.36.31 BA.2.48 BF.4 B.1.36.34 BA.2.3.2 BA.2.39	0.04497712 0.04497712 0.04497712 0.04497712 0.04497712 0.04497712 0.04497712 0.04497712 0.04497712 0.04497712 0.04497712 0.04497712 0.04497712 0.04497712 0.04497712 0.04497712 0.04497712 0.04497712 0.04497712 0.04497712 0.04497712 0.04497712 0.00174216 0.00164786 0.00141443 0.00139211 0.00075207 0.00044092 0.00035015 0.00031433 0.00026265 0.00019329 0.00017067 0.00016215 0.00015170 0.00014735 0.00014642 0.00013046 0.00012099 0.00010590 0.00010571	2.937464082677831	14.503561515567
2022-1-18-TX-BW-DSHS-Sample-FDA-1-3_variants.tsv	[('Omicron', 0.9994119892866049), ('BA.2* [Omicron (BA.2.X)]', 0.00011549999983516913)]	XP BA.1.1.15 BA.1.1.14 BA.1.1.11 BA.1.1.12 BA.1.1.7 BA.1.1.9 BA.1.1.8 BA.1.1 BA.1.1.10 BA.1.1.2 BA.1.1.18 BA.1.1.17 BA.1.1.5 BA.1.1.16 BA.1.17.1 BG.1	0.19975933 0.05709846 0.05709846 0.05709846 0.05709846 0.05709846 0.05709846 0.05709846 0.05709846 0.05709846 0.05709846 0.05709846 0.05709846 0.05709846 0.05709846 0.00027420 0.00011550	0.11248172611767615	13.657492559274989
2022-09-20-TX-BW-DSHS-Sample-FDA-1-71_variants.tsv	[('BA.5* [Omicron (BA.5.X)]', 0.999573880999048)]	BA.5.1 BA.5.1.1 BA.5.3.1 BA.5.1.2	0.99881366 0.00036278 0.00024588 0.00015156	5.806892217351528	73.86549844497208
2022-08-02-TX-BW-DSHS-Sample-FDA-1-57_variants.tsv	[('BA.5* [Omicron (BA.5.X)]', 0.9981521235433272), ('BA.2* [Omicron (BA.2.X)]', 0.0009311709955806043)]	BF.10 BF.7 BA.5.5 BA.5.3 BA.5.9 BA.5.2.1 BA.5.3.4 BA.5.3.3 BA.5.2 BA.5.6 BF.6 BF.4 BF.2 BA.2.12.2 BA.2.48 BA.5.7 BA.5.1.1	0.07675663 0.07675663 0.07675663 0.07675663 0.07675663 0.07675663 0.07675663 0.07675663 0.07675663 0.07675663 0.07675663 0.07675663 0.07675663 0.00062913 0.00030204 0.00021250 0.00010349	1.289552457579621	7.159816740795238
2022-06-28-TX-BW-DSHS-Sample-FDA-1-47_variants.tsv	[('BA.5* [Omicron (BA.5.X)]', 0.9993459168816433)]	BA.5.8 BA.5.6 BA.5.3.3 BA.5.3.2 BA.5.3.4 BA.5.2.1 BA.5.9 BA.5.3 BA.5.5 BA.5.1.1 BF.10	0.11099396 0.11099396 0.11099396 0.11099396 0.11099396 0.11099396 0.11099396 0.11099396 0.11099396 0.00029812 0.00010215	1.0066826982820956	5.307159816740795
2022-06-09-TX-BW-DSHS-Sample-FDA-1-42_variants.tsv	[('BA.5* [Omicron (BA.5.X)]', 0.9995410771488029), ('Omicron', 0.00011792700011639833), ('Other', 0.00010583960054659459)]	BA.5.2 BA.5.5 BA.5.9 BA.5.2.1 BA.5.3.1 BA.5.3.4 BA.5.3.2 BA.5.3.3 BA.5 BA.5.3 BF.8 BF.6 BF.4 BF.2 BE.2 BF.7 BF.5 BA.5.7 BF.9 XY B.1.36.1	0.05876878 0.05876878 0.05876878 0.05876878 0.05876878 0.05876878 0.05876878 0.05876878 0.05876878 0.05876878 0.05876878 0.05876878 0.05876878 0.05876878 0.05876878 0.05876878 0.05876878 0.00026238 0.00020942 0.00011793 0.00010584	0.0765504134383992	5.26703006387319
2022-5-10-TX-BW-DSHS-Sample-FDA-1-33_variants.tsv	[('BA.2* [Omicron (BA.2.X)]', 0.9984810644872686), ('Omicron', 0.00012871301836884212), ('BA.5* [Omicron (BA.5.X)]', 0.00010704062532143732)]	BA.2.51 BA.2.6 BA.2.69 BA.2.72 BA.2.62 BA.2.35 BA.2.22 BA.2.53 BA.2.2.1 BA.2.34 BA.2.16 BA.2.71 BA.2.66 BA.2.52 BA.2.13.1 BA.2.63 BA.2.3.15 BA.2.36 BA.2.61 BA.4.1.2 BA.2.60 BA.2.14 BA.2.77 BA.5.7 BA.2.64	0.33126239 0.33126239 0.33126239 0.00061451 0.00052970 0.00040345 0.00026490 0.00026399 0.00026037 0.00024221 0.00022978 0.00022586 0.00020318 0.00019972 0.00018203 0.00017886 0.00015895 0.00015637 0.00013718 0.00012871 0.00011966 0.00011301 0.00010973 0.00010704 0.00010043	3.6657470011623348	41.06611376784938
2022-1-11-TX-BW-DSHS-Sample-FDA-1-1_variants.tsv	[('Omicron', 0.9994836210986644)]	BA.1.15.2 BA.1.15 BA.1.7 BA.1.16.1 BA.1.16.2 BA.1.1.3 BA.1.20	0.49928048 0.49928048 0.00027902 0.00017670 0.00017593 0.00016904 0.00012197	1.0950145600993304	47.55375714811223
