	summarized	lineages	abundances	resid	coverage
2022-3-8-TX-BW-DSHS-Sample-Was-Wac-9_variants.tsv	[('Omicron', 0.9995364542874416), ('Other', 0.00011258025803630105)]	BA.1.15.2 BA.1.15 BA.1.4 BA.1.3 BA.1.18 BA.1.13 BA.1.14 BA.1.5 BA.1.6 BA.1.10 BA.1.14.1 BA.1.14.2 BA.1.9 BA.1.8 BA.1.1.3 B.1.1.525 XZ	0.24802350 0.24802350 0.04968671 0.04968671 0.04968671 0.04968671 0.04968671 0.04968671 0.04968671 0.04968671 0.04968671 0.04968671 0.00610354 0.00021090 0.00020333 0.00011258 0.00010454	1.9563623167204018	16.513393305019562
2021-04-06-TX-BW-DSHS-Sample-Wac-Inf_variants.tsv	[('Other', 0.9915317212764848), ('Alpha', 0.001319662631906535), ('Epsilon', 0.00038632501414110167), ('A', 0.00014738337063172104), ('Beta', 0.00012039499551461992)]	XA B.1.382 B.1.370 B.1.336 B.1.301 B.1.577 B.1.589 B.1.595 B.1.595.1 B.1.214 B.1.179 B.1.215 B.1.249 B.1.222 B.1.1.46 Q.1 B.1.570 B.1.1.205 B.1.201 B.1.531 B.1.1.396 B.1.225 B.1.437 B.1.1.339 B.1.391 B.1.1.239 B.1.1.298 B.1.453 B.1.508 B.1.428 B.1.93 B.1.1.109 B.1.293 B.1.306 B.1.106 B.1.359 B.1.1.371 B.1.1.363 B.1.1.447 B.1.1.398 B.1.1.383 B.1.372 B.1.360 B.1.1.29 B.1.1.437 B.1.1.302 B.1.164 B.1.1.308 B.1.532 B.1.304 B.1.595.3 B.1.1.262 B.1.194 B.1.1.378 B.1.599 B.1.1.185 B.1.1.63 B.1.564 B.1.607 B.1.1.159 B.1.40 B.1.178 B.1.289 B.1.448 B.59 B.1.1.404 B.1.1.328 B.1.1.243 B.1.505 B.1.173 B.1.1.203 B.1.310 B.1.575 B.1.1.198 Q.6 B.1.143 P.6 B.1.153 B.1.110.1 B.1.199 B.1.1.97 B.1.623 B.1.1.448 B.1.1.70 B.1.1.92 B.1.594 B.1.1.507 B.34 M.3 B.1.1.4 B.1.67 B.1.1.506 B.1.1.244 B.1.1.432 B.1.1.129 B.43 B.1.12 B.1.1.348 B.1.348 B.1.142 B.1.305 B.1.429.1 B.1.544 B.1.44 B.1.240.2 B.1.350.1 B.1.1.337 B.1.9.4 B.1.632 AG.1 B.1.1.45 B.1.318 B.1.543 B.1.335 B.1.104 B.1.97 B.1.184 B.1.1.253 B.1.248 B.1.576 B.1.1.196 B.1.198 B.1.1.269 B.1.221.1 B.1.213 B.1.137 B.1.423 B.31 B.1.245 B.1.108 B.1.1.17 B.1.521 B.1.355 B.1.250 B.1.356 B.1.321 AF.1 N.7 B.1.610 B.1.605 B.1.1.168 B.1.375 B.41 B.1.1.395 B.1.1.147 B.1.1.513 C.2 B.1.113 B.1.1.274 B.1.77 B.1.1.406 B.1.1.358 B.1.427 B.1.1.120 B.1.1.190 B.1.1.429 A.2.5.1 B.1.1.224 B.1.349 B.1.630 B.1.1.163 B.1.340 C.27 B.1.1.277 B.1.1.14 C.20 B.1.579 B.1.1.413 B.1.390 B.1.189 Q.3 B.1.69 B.1.381 B.1.384 B.1.1.251 B.1.451 B.1.362.1 B.1.1.237 B.1.568 B.1.351.5 B.1.1.98 B.1.631 B.1.1.240 B.1.1.193 B.1.1.37 Q.7 B.1.569 B.1.601 B.1.311 B.1.1.290 B.1.258.22 B.1.603 B.1.1.338 B.1.1.16 B.1.1.341 B.1.1.101	0.57526482 0.09166898 0.03883609 0.03883609 0.03883609 0.03883609 0.03883609 0.03883609 0.03883609 0.00206963 0.00151745 0.00094429 0.00089365 0.00086806 0.00079881 0.00079628 0.00072939 0.00071589 0.00068847 0.00065466 0.00064340 0.00061881 0.00057542 0.00056914 0.00052507 0.00052002 0.00051125 0.00050839 0.00050446 0.00049064 0.00048207 0.00046996 0.00045590 0.00044287 0.00044072 0.00042517 0.00042367 0.00042148 0.00041923 0.00041726 0.00041494 0.00041308 0.00040153 0.00039880 0.00039878 0.00039035 0.00038771 0.00037943 0.00037581 0.00037445 0.00036490 0.00035997 0.00035499 0.00035311 0.00034988 0.00034801 0.00034552 0.00034507 0.00034507 0.00034266 0.00034130 0.00033906 0.00033298 0.00032776 0.00032771 0.00031794 0.00031377 0.00030195 0.00029918 0.00029568 0.00029240 0.00028910 0.00028708 0.00028017 0.00027240 0.00027043 0.00027004 0.00026896 0.00026671 0.00026514 0.00026260 0.00026192 0.00025999 0.00025646 0.00025573 0.00025555 0.00025255 0.00025192 0.00025113 0.00025084 0.00025044 0.00024901 0.00024876 0.00024876 0.00024777 0.00024618 0.00023802 0.00023664 0.00023537 0.00023458 0.00023373 0.00023223 0.00022973 0.00022744 0.00022609 0.00022596 0.00022528 0.00022358 0.00021958 0.00021841 0.00021654 0.00021491 0.00021438 0.00021339 0.00021253 0.00021176 0.00020972 0.00020969 0.00020883 0.00020816 0.00020665 0.00020254 0.00020101 0.00019798 0.00019726 0.00019636 0.00019364 0.00019298 0.00018969 0.00018939 0.00018141 0.00018100 0.00018090 0.00018007 0.00017848 0.00017765 0.00017679 0.00017581 0.00017570 0.00017525 0.00017047 0.00016946 0.00016784 0.00016645 0.00016644 0.00016560 0.00016361 0.00016352 0.00016336 0.00016210 0.00015849 0.00015553 0.00015409 0.00015109 0.00014911 0.00014908 0.00014738 0.00014676 0.00014614 0.00014588 0.00014587 0.00014562 0.00014550 0.00014437 0.00014355 0.00014341 0.00014187 0.00014006 0.00013808 0.00013657 0.00013473 0.00013318 0.00013206 0.00013027 0.00012904 0.00012665 0.00012538 0.00012435 0.00012322 0.00012039 0.00012011 0.00012003 0.00011777 0.00011769 0.00011684 0.00011626 0.00011335 0.00011308 0.00011008 0.00010780 0.00010756 0.00010590 0.00010559 0.00010400 0.00010364 0.00010072	10.34166210435254	49.92141256730094
2022-06-07-TX-BW-DSHS-Sample-Was-Wac-21_variants.tsv	[('Omicron', 0.9961586196502779), ('BA.2* [Omicron (BA.2.X)]', 0.0017485323588112168), ('BA.5* [Omicron (BA.5.X)]', 0.00011698596636043263)]	XAJ BA.4 BA.4.2 BA.2.40 BA.2 BA.2.3.5 BA.2.24 BA.2.3.7 BA.2.3.10 BA.4.1.1 BA.2.18 BA.5.2.4	0.72180862 0.27357830 0.00060288 0.00046295 0.00041705 0.00018822 0.00018238 0.00017476 0.00017122 0.00016882 0.00015195 0.00011699	8.392664086578058	78.04568103534763
2022-08-09-TX-BW-DSHS-Sample-Was-Wac-30_variants.tsv	[('BA.5* [Omicron (BA.5.X)]', 0.998796269933941), ('Omicron', 0.0001113362041413436)]	BA.5.2 BA.5.3 BA.5.3.1 BA.5.1.1 BA.5.1 BA.5.1.2 BE.1 BA.5.3.2 BE.3 BA.5.2.4 BA.5.1.7 BA.5.1.3 BA.4.3	0.46326480 0.19315324 0.17881873 0.11624400 0.04562543 0.00037793 0.00036832 0.00033929 0.00020020 0.00014594 0.00014368 0.00011470 0.00011134	7.107931097480883	93.8802126876902
2021-04-20-TX-BW-DSHS-Sample-Wac-Inf_variants.tsv	[('Alpha', 0.9970620218858033), ('Other', 0.001824903280332679), ('Theta', 0.000120686465158283)]	Q.1 Q.4 Q.2 AP.1 XA B.1.1.519 B.1.1.389 B.1.1.413 B.1.603 Q.3 B.1.1.153 B.1.1.374 P.3 B.1.532 B.1.575.1	0.49812078 0.49812078 0.00066845 0.00030516 0.00026998 0.00022109 0.00019968 0.00018857 0.00015695 0.00015202 0.00013467 0.00012538 0.00012069 0.00011898 0.00010445	4.878690171651165	29.946828077450423
2022-1-18-TX-BW-DSHS-Sample-Was-Wac-2_variants.tsv	[('Omicron', 0.9990910743960838), ('Other', 0.0003122069992378994)]	BA.1.1.14 BA.1.1.2 BA.1.1.16 BA.1.15 BA.1.1.7 XS BA.1.15.2 BA.1.1.4 BA.1.16.2 BA.1.1.9 BA.1.1.17 BA.1.20	0.38903066 0.38903066 0.11160779 0.10792395 0.00059916 0.00031221 0.00024396 0.00019802 0.00012660 0.00011926 0.00010655 0.00010445	3.2811546061018575	89.39571280473531
2021-07-20-TX-BW-DSHS-Sample-Wac-Inf_variants.tsv	[('Delta', 0.9973297825279103), ('Other', 0.0010900603601553178), ('Lambda', 0.0002096002276116976)]	AY.57 AY.44 AY.62 AY.26 AY.39.3 AY.9 AY.24 B.1.1.70 C.37 B.1.1.302 AY.128 C.4 AY.75.2 AY.92 C.12 B.1.1.323 AY.1 B.1.1.403 AY.13 C.30	0.52389880 0.29707804 0.17442400 0.00035162 0.00032336 0.00030520 0.00024133 0.00023256 0.00020960 0.00019325 0.00016908 0.00015935 0.00015153 0.00014889 0.00014631 0.00012477 0.00012412 0.00012390 0.00011382 0.00010993	7.316303701830934	71.6750827676153
2022-08-30-TX-BW-DSHS-Sample-Was-Wac-33_variants.tsv	[('BA.5* [Omicron (BA.5.X)]', 0.6987135911709575), ('Omicron', 0.3003836343820263), ('Other', 0.0002982500185566183)]	BF.6 BA.5.1.6 BA.4.4 BA.4 BF.7 BA.5.1.1 BA.5.2.1 BA.4.1 BA.5.2 BF.10 BA.4.6 BA.5.2.2 BA.5.1.2 BA.5.1.3 BA.4.1.3 BF.9 BF.8 BA.4.2 BA.4.1.1 BA.5.2.4 BA.4.1.4 B.1.629 BA.4.7 BF.5 BA.4.1.2 B.1.243.2	0.21683696 0.21251780 0.12464500 0.11472896 0.10736511 0.04426190 0.04315559 0.04200865 0.03836876 0.02106450 0.01753989 0.01288600 0.00067329 0.00062801 0.00053792 0.00036199 0.00023487 0.00022709 0.00021482 0.00020784 0.00020694 0.00019467 0.00015413 0.00015098 0.00012023 0.00010358	6.784644035512122	96.69263953449487
2021-04-27-TX-BW-DSHS-Sample-Wac-Inf_variants.tsv	[('Alpha', 0.7648456640435705), ('Other', 0.23289646850157006), ('BA.5* [Omicron (BA.5.X)]', 0.0002770340068244567), ('A', 0.00011949599260594654)]	Q.1 B.1.36.31 B.1.139 B.1.170 B.1.1.379 B.1.550 B.1.398 B.1.240 B.1.234 B.1.239 B.1.241 B.1.229 B.1.238 B.1.1.275 B.1.243 B.1.1.205 B.59 C.2 B.1.1.392 B.1.1.345 B.1.1.97 B.1.402 B.1.240.2 B.1.1.40 B.1.1.128 B.1.554 B.1.1.59 B.1.1.349 B.1.610 B.1.634 B.1.1.514 B.1.381 C.35 B.1.1.296 M.3 B.1.1.46 B.1.1.512 B.1.1.171 B.1.1.312 B.1.1.448 B.1.188 B.1.1.207 B.1.1.396 AS.1 B.1.1.437 B.1.1.116 B.1.1.388 B.1.1.163 B.1.1.198 AZ.3 B.1.1.301 XB C.2.1 B.1.1.74 B.1.9.4 BA.5.8 B.1.1.196 B.1.173 B.1.218 B.1.1.447 B.1.1.463 B.1.233 B.1.1.513 Q.3 C.13 B.1.1.109 B.1.1.389 B.1.1.70 B.1.1.518 B.1.480 B.1.629 B.1.1.358 B.1.1.467 B.1.407 B.1.1.458 B.1.563 B.1.36.18 B.1.1.338 B.1.438.3 B.1.1.101 C.28 B.34 AZ.5 B.1.1.507 B.1.421 B.1.221.3 AA.8 B.1.456 B.1.1.37 AM.3 AH.1 B.1.36.29 B.1.1.159 B.1.1.348 B.1.1.25 B.1.1.294 B.1.603 B.1.1.144 N.5 B.1.311 B.1.1.425 B.1.463 Q.6 B.1.532 B.1.544 B.1.1.525 B.1.1.337 B.1.1.44 B.1.203 B.1.1.193 AV.1 A.2.4 B.1.1.98 B.1.221.4 B.1.69 B.1.1.242 B.1.160.13 B.1.441 B.1.1.251	0.76447153 0.16092300 0.01052061 0.01052061 0.00212252 0.00166073 0.00166073 0.00166073 0.00166073 0.00166073 0.00166073 0.00166073 0.00166073 0.00126263 0.00126263 0.00125313 0.00121065 0.00114865 0.00107643 0.00095511 0.00081699 0.00080399 0.00075415 0.00072674 0.00066890 0.00066867 0.00062933 0.00062383 0.00058482 0.00058199 0.00056625 0.00056370 0.00056354 0.00056275 0.00049225 0.00049132 0.00046555 0.00046307 0.00046204 0.00044873 0.00042182 0.00042158 0.00041783 0.00039704 0.00038145 0.00037249 0.00036982 0.00035669 0.00034722 0.00032779 0.00032310 0.00031521 0.00031120 0.00030193 0.00029664 0.00027703 0.00027684 0.00026991 0.00026427 0.00026403 0.00026288 0.00024925 0.00024919 0.00024743 0.00024492 0.00024340 0.00023911 0.00022154 0.00021789 0.00021427 0.00020915 0.00019926 0.00019539 0.00019019 0.00018957 0.00018460 0.00017436 0.00017399 0.00016660 0.00016538 0.00016328 0.00015882 0.00015835 0.00015763 0.00015135 0.00015015 0.00014986 0.00014983 0.00014983 0.00014968 0.00014857 0.00014854 0.00014799 0.00014795 0.00014714 0.00014510 0.00014461 0.00013961 0.00013591 0.00013193 0.00012973 0.00012816 0.00012670 0.00012632 0.00012484 0.00012452 0.00012450 0.00012408 0.00012407 0.00012217 0.00012204 0.00011950 0.00011526 0.00011482 0.00011426 0.00010693 0.00010572 0.00010301 0.00010163	7.447681831835551	31.916530114035382
2021-10-05_Wac10_variants.tsv	[('Delta', 0.9999999999961146)]	AY.100 AY.25 AY.43.2 AY.99 AY.112 AY.92 AY.84 AY.46.1 AY.108 AY.110 AY.20	0.43659700 0.29447900 0.13716800 0.06134836 0.03874810 0.01388890 0.01149430 0.00309119 0.00135501 0.00094518 0.00088496	5.012956626622995	95.11085844229676
